Index,TIME,C_sample(out),C_R1(out)
0,0.0,0.0318081342,0.968191866
1,5e-07,0.0318081342,0.968191866
2,1.5e-06,0.0318081342,0.968191866
3,3.5e-06,0.0318081342,0.968191866
4,7.5e-06,0.0318081342,0.968191866
5,1.55e-05,0.0318081342,0.968191866
6,2.55e-05,0.0318081342,0.968191866
7,3.55e-05,0.0318081342,0.968191866
8,4.55e-05,0.0318081342,0.968191866
9,5.55e-05,0.0318081342,0.968191866
10,6.55e-05,0.0318081342,0.968191866
11,7.55e-05,0.0318081342,0.968191866
12,8.55e-05,0.0318081342,0.968191866
13,9.55e-05,0.0318081342,0.968191866
14,0.0001,0.0318081342,0.968191866
