Index,TIME,C_sample(out),C_R2(out),C_R1(out)
0,0.0,0.0131489378,0.296468464,0.690382598
1,5e-07,0.0131489378,0.296468464,0.690382598
2,1.5e-06,0.0131489378,0.296468464,0.690382598
3,3.5e-06,0.0131489378,0.296468464,0.690382598
4,7.5e-06,0.0131489378,0.296468464,0.690382598
5,1.55e-05,0.0131489378,0.296468464,0.690382598
6,2.55e-05,0.0131489378,0.296468464,0.690382598
7,3.55e-05,0.0131489378,0.296468464,0.690382598
8,4.55e-05,0.0131489378,0.296468464,0.690382598
9,5.55e-05,0.0131489378,0.296468464,0.690382598
10,6.55e-05,0.0131489378,0.296468464,0.690382598
11,7.55e-05,0.0131489378,0.296468464,0.690382598
12,8.55e-05,0.0131489378,0.296468464,0.690382598
13,9.55e-05,0.0131489378,0.296468464,0.690382598
14,0.0001,0.0131489378,0.296468464,0.690382598
