Index,TIME,C_sample(out),C_R1(out)
0,0.0,0.436008175,0.563991825
1,5e-07,0.436008175,0.563991825
2,1.5e-06,0.436008175,0.563991825
3,3.5e-06,0.436008175,0.563991825
4,7.5e-06,0.436008175,0.563991825
5,1.55e-05,0.436008175,0.563991825
6,2.55e-05,0.436008175,0.563991825
7,3.55e-05,0.436008175,0.563991825
8,4.55e-05,0.436008175,0.563991825
9,5.55e-05,0.436008175,0.563991825
10,6.55e-05,0.436008175,0.563991825
11,7.55e-05,0.436008175,0.563991825
12,8.55e-05,0.436008175,0.563991825
13,9.55e-05,0.436008175,0.563991825
14,0.0001,0.436008175,0.563991825
