Index,TIME,C_R1(out),C_R2(out),C_sample(out)
0,0.0,0.248087975,0.254353045,0.497558981
1,5e-07,0.248087975,0.254353045,0.497558981
2,1.5e-06,0.248087975,0.254353045,0.497558981
3,3.5e-06,0.248087975,0.254353045,0.497558981
4,7.5e-06,0.248087975,0.254353045,0.497558981
5,1.55e-05,0.248087975,0.254353045,0.497558981
6,2.55e-05,0.248087975,0.254353045,0.497558981
7,3.55e-05,0.248087975,0.254353045,0.497558981
8,4.55e-05,0.248087975,0.254353045,0.497558981
9,5.55e-05,0.248087975,0.254353045,0.497558981
10,6.55e-05,0.248087975,0.254353045,0.497558981
11,7.55e-05,0.248087975,0.254353045,0.497558981
12,8.55e-05,0.248087975,0.254353045,0.497558981
13,9.55e-05,0.248087975,0.254353045,0.497558981
14,0.0001,0.248087975,0.254353045,0.497558981
