Index,TIME,C_sample(out),C_H2O(out),C_R2(out),C_R1(out)
0,0.0,0.0122392168,0.042171224,0.324402896,0.621186663
1,5e-07,0.0122392168,0.042171224,0.324402896,0.621186663
2,1.5e-06,0.0122392168,0.042171224,0.324402896,0.621186663
3,3.5e-06,0.0122392168,0.042171224,0.324402896,0.621186663
4,7.5e-06,0.0122392168,0.042171224,0.324402896,0.621186663
5,1.55e-05,0.0122392168,0.042171224,0.324402896,0.621186663
6,2.55e-05,0.0122392168,0.042171224,0.324402896,0.621186663
7,3.55e-05,0.0122392168,0.042171224,0.324402896,0.621186663
8,4.55e-05,0.0122392168,0.042171224,0.324402896,0.621186663
9,5.55e-05,0.0122392168,0.042171224,0.324402896,0.621186663
10,6.55e-05,0.0122392168,0.042171224,0.324402896,0.621186663
11,7.55e-05,0.0122392168,0.042171224,0.324402896,0.621186663
12,8.55e-05,0.0122392168,0.042171224,0.324402896,0.621186663
13,9.55e-05,0.0122392168,0.042171224,0.324402896,0.621186663
14,0.0001,0.0122392168,0.042171224,0.324402896,0.621186663
