Index,TIME,C_sample(out),C_H2O(out),C_R2(out),C_R1(out)
0,0.0,0.0303502881,0.0928619447,0.373640796,0.503146971
1,5e-07,0.0303502881,0.0928619447,0.373640796,0.503146971
2,1.5e-06,0.0303502881,0.0928619447,0.373640796,0.503146971
3,3.5e-06,0.0303502881,0.0928619447,0.373640796,0.503146971
4,7.5e-06,0.0303502881,0.0928619447,0.373640796,0.503146971
5,1.55e-05,0.0303502881,0.0928619447,0.373640796,0.503146971
6,2.55e-05,0.0303502881,0.0928619447,0.373640796,0.503146971
7,3.55e-05,0.0303502881,0.0928619447,0.373640796,0.503146971
8,4.55e-05,0.0303502881,0.0928619447,0.373640796,0.503146971
9,5.55e-05,0.0303502881,0.0928619447,0.373640796,0.503146971
10,6.55e-05,0.0303502881,0.0928619447,0.373640796,0.503146971
11,7.55e-05,0.0303502881,0.0928619447,0.373640796,0.503146971
12,8.55e-05,0.0303502881,0.0928619447,0.373640796,0.503146971
13,9.55e-05,0.0303502881,0.0928619447,0.373640796,0.503146971
14,0.0001,0.0303502881,0.0928619447,0.373640796,0.503146971
