Name,Number of Samples,Runtime [s],Time to Best Design [s],Die Area,Design Area,% Area Utilization,Total Wire Length,Max Wire Length,Max Wire Location,Mean Wire Length,Median Wire Length,Concentrations,Concentration Error [%]
five_samples,5,1321.2707521915436,1321.2303366661072," 0 0 2550 1590
",1589400,49%," 9925 um.
",17.36,soln1,6.973922857142857,6.5839099999999995,2,1.1373817584708672
,,,,,,,,,,,,11,2.0200380405430325
,,,,,,,,,,,,53,0.21181783041374003
,,,,,,,,,,,,94,2.6877822334745427
,,,,,,,,,,,,209,1.1453717706805988
five_samples,5,1248.0192177295685,1247.9871072769165," 0 0 2550 1590
",1589400,49%," 9925 um.
",17.36,soln1,6.973922857142857,6.5839099999999995,1,1.8844236565233565
,,,,,,,,,,,,11,0.5521650112240049
,,,,,,,,,,,,53,1.6371535297379538
,,,,,,,,,,,,94,1.034933848867412
,,,,,,,,,,,,209,0.01222992541505087
five_samples,5,695.1523115634918,695.116110086441," 0 0 2550 1590
",1317600,41%," 7044 um.
",13.853909999999996,soln1,5.134741428571429,4.444865,4,1.6932488621603632
,,,,,,,,,,,,47,0.17629628214972948
,,,,,,,,,,,,84,2.140375587769282
,,,,,,,,,,,,143,1.4078330019425565
,,,,,,,,,,,,250,1.518394727941137
five_samples,5,1832.133318901062,1821.6330072879791," 0 0 2550 1590
",538200,17%," 5364 um.
",9.151819999999999,connect3,4.344728571428571,4.447910000000002,24,3.3166802992767863
,,,,,,,,,,,,35,3.4119297711282264
,,,,,,,,,,,,81,2.0127686096558546
,,,,,,,,,,,,91,2.3979566408051323
,,,,,,,,,,,,223,1.5310832319824264
