Name,Number of Samples,Runtime [s],Die Area,Design Area,% Area Utilization,Total Wire Length,Concentrations,Concentration Error [%]
four_samples,4,765.9885976314545," 0 0 2550 1590
",168300,5%," 4165 um.
",100,1.5255180000000035
,,,,,,,100,2.9702004000000004
,,,,,,,100,1.549173199999998
,,,,,,,100,0.10449040000000132
four_samples,4,723.8442845344543," 0 0 2550 1590
",168300,5%," 4165 um.
",99,2.626727841293108
,,,,,,,100,2.4201855373913426
,,,,,,,100,2.216263822307425
,,,,,,,100,2.8043778438973908
four_samples,4,636.0536313056946," 0 0 2550 1590
",168300,5%," 4165 um.
",98,0.9656137752833497
,,,,,,,100,1.8152079621651611
,,,,,,,100,0.9216191531610733
,,,,,,,100,0.052712712295194905
four_samples,4,635.4782204627991," 0 0 2550 1590
",168300,5%," 4165 um.
",97,1.7502019481731537
,,,,,,,100,2.0619044478966635
,,,,,,,100,0.6680461887265808
,,,,,,,100,0.30383759651119835
four_samples,4,1433.1133666038513," 0 0 2550 1590
",168300,5%," 4165 um.
",96,2.155522071555228
,,,,,,,100,1.9696723396967315
,,,,,,,100,1.6020354400203594
,,,,,,,100,1.5024030270240272
four_samples,4,503.7973644733429," 0 0 2550 1590
",186300,6%," 3685 um.
",50,2.000929740018596
,,,,,,,100,0.9659723355104337
,,,,,,,100,0.9959172850612449
,,,,,,,100,0.9614212855786761
four_samples,4,241.86394834518433," 0 0 2550 1590
",186300,6%," 3685 um.
",49,1.9911161696325193
,,,,,,,100,0.06020319827092095
,,,,,,,100,0.4782765821522388
,,,,,,,100,1.3937203382717416
four_samples,4,275.677579164505," 0 0 2550 1590
",186300,6%," 3685 um.
",48,0.23308388257520968
,,,,,,,100,0.2308649414775376
,,,,,,,100,0.7616512488745627
,,,,,,,100,1.1043999310681563
four_samples,4,517.6241834163666," 0 0 2550 1590
",186300,6%," 3685 um.
",47,1.593918611078657
,,,,,,,100,0.5132088325101657
,,,,,,,100,1.0486027628694878
,,,,,,,100,0.8126663604738765
four_samples,4,874.4918601512909," 0 0 2550 1590
",186300,6%," 3685 um.
",46,2.9784183257240806
,,,,,,,100,2.5140010630503915
,,,,,,,100,1.3126530747255472
,,,,,,,100,2.4565816708436925
four_samples,4,272.0395200252533," 0 0 2550 1590
",467100,15%," 3805 um.
",15,1.9678560008571642
,,,,,,,25,0.9103497076968001
,,,,,,,70,0.4072287999999924
,,,,,,,170,0.47519178599910744
four_samples,4,594.0417602062225," 0 0 2550 1590
",467100,15%," 3805 um.
",14,0.04475797845362288
,,,,,,,25,0.6008567755655824
,,,,,,,70,2.078768395167289
,,,,,,,170,0.9480106479528757
four_samples,4,1065.907350063324," 0 0 2550 1590
",467100,15%," 3805 um.
",13,0.6527970328418428
,,,,,,,25,1.2969522527228947
,,,,,,,70,0.04015868875500434
,,,,,,,170,0.2241121534421532
four_samples,4,1285.0994527339935," 0 0 2550 1590
",467100,15%," 3805 um.
",12,0.2696793494193398
,,,,,,,25,0.30011741475685766
,,,,,,,70,0.45679951507587924
,,,,,,,170,0.21319256171571113
four_samples,4,621.307963848114," 0 0 2550 1590
",567900,18%," 4135 um.
",11,0.5904420692273229
,,,,,,,25,2.371571072594511
,,,,,,,70,0.9794009767009053
,,,,,,,170,0.7138381188242742
four_samples,4,653.6863658428192," 0 0 2550 1590
",935100,29%," 4915 um.
",5,1.6520889217102348
,,,,,,,50,1.2895467796299804
,,,,,,,95,1.2853743541062688
,,,,,,,212,0.3108191759459405
four_samples,4,744.7848298549652," 0 0 2550 1590
",1136700,35%," 5395 um.
",4,1.9804626757506414
,,,,,,,50,2.036348944320507
,,,,,,,95,1.5471267078482847
,,,,,,,212,1.1361916427751142
four_samples,4,980.8342514038086," 0 0 2550 1590
",1262700,39%," 6446 um.
",3,1.1899150759660317
,,,,,,,50,1.0166385518669097
,,,,,,,95,0.3701008405469412
,,,,,,,212,0.4224586407123479
