Name,Number of Samples,Runtime [s],Time to Best Design [s],Die Area,Design Area,% Area Utilization,Total Wire Length,Max Wire Length,Max Wire Location,Mean Wire Length,Median Wire Length,Concentrations,Concentration Error [%]
four_samples,4,1870.7342224121094,1860.4668679237366," 0 0 2550 1590
",1262700,39%," 6446 um.
",17.36,soln1,6.0901000000000005,4.361910000000001,2,2.869510126493658
,,,,,,,,,,,,50,3.7690762722044058
,,,,,,,,,,,,95,3.5390276073262736
,,,,,,,,,,,,212,0.7240244238536971
four_samples,4,1849.5812106132507,1839.2649509906769," 0 0 2550 1590
",1262700,39%," 6446 um.
",17.36,soln1,6.0901000000000005,4.361910000000001,1,41.21474957935061
,,,,,,,,,,,,50,5.465678538901715
,,,,,,,,,,,,95,0.2274969397594972
,,,,,,,,,,,,212,1.1966099358813649
four_samples,4,226.70059752464294,226.66537284851074," 0 0 2550 1590
",240300,7%," 3685 um.
",7.49791,connect0,4.030273636363637,4.417909999999999,20,0.9706414400000085
,,,,,,,,,,,,100,1.0629087999999953
,,,,,,,,,,,,100,1.194656320000007
,,,,,,,,,,,,100,0.3258755200000074
four_samples,4,1824.5688772201538,1814.087632894516," 0 0 2550 1590
",614700,19%," 4376 um.
",7.753910000000001,soln1,4.246984545454546,3.1939100000000002,11,3.6132700256372017
,,,,,,,,,,,,95,0.28481956679902554
,,,,,,,,,,,,83,0.3869119944610461
,,,,,,,,,,,,239,0.08640639574552371
four_samples,4,1225.4515824317932,1225.4122514724731," 0 0 2550 1590
",386100,12%," 3925 um.
",7.609910000000001,connect1,4.1702900000000005,3.6779100000000007,11,0.1809053103015453
,,,,,,,,,,,,46,1.1736944258523414
,,,,,,,,,,,,98,0.9304220486468802
,,,,,,,,,,,,130,0.2707804735976661
four_samples,4,239.23348593711853,239.2022659778595," 0 0 2550 1590
",1226700,38%," 6506 um.
",17.36,soln1,6.131364545454545,4.361910000000001,1,2.5522347160334498
,,,,,,,,,,,,40,0.8712800480297399
,,,,,,,,,,,,61,2.189201773690924
,,,,,,,,,,,,116,0.8727787890660027
