Name,Number of Samples,Runtime [s],Time to Best Design [s],Die Area,Design Area,% Area Utilization,Maximum X Coordinate,Total Wire Length,Max Wire Length,Max Wire Location,Mean Wire Length,Median Wire Length,Concentrations,Concentration Error [%],Required Volume [mL]
four_samples,4,1574.9270012378693,1574.8919072151184," 0 0 2550 1590
",168300,5%,690000," 4165 um.
",8.919819999999996,connect0,4.361530000000001,4.417909999999999,100,2.6983431999999974,2.9499187199999998e-05
,,,,,,,,,,,,,100,2.6997372000000075,2.9499187199999998e-05
,,,,,,,,,,,,,100,2.6572776000000076,2.9499187199999998e-05
,,,,,,,,,,,,,100,2.6586715999999955,2.9499187199999998e-05
four_samples,4,507.8818778991699,507.84836292266846," 0 0 2550 1590
",186300,6%,1830000," 3685 um.
",7.49791,connect0,4.030273636363637,4.417909999999999,50,2.000929740018596,5.8998374399999996e-05
,,,,,,,,,,,,,100,0.9659723355104337,0.00011799674879999999
,,,,,,,,,,,,,100,0.9959172850612449,0.00011799674879999999
,,,,,,,,,,,,,100,0.9614212855786761,0.00011799674879999999
four_samples,4,1599.5735943317413,1599.5400340557098," 0 0 2550 1590
",303300,9%,2010000," 4195 um.
",6.039819999999998,connect4,4.392439090909091,4.33391,25,1.2207566117020487,0.0002654926847999999
,,,,,,,,,,,,,92,1.3409705896975166,0.0008601962987519995
,,,,,,,,,,,,,81,0.37917214210280187,0.0009770130800639998
,,,,,,,,,,,,,225,0.19207226930609272,0.002389434163199999
four_samples,4,1835.6437301635742,1824.5204014778137," 0 0 2550 1590
",953100,30%,1770000," 6476 um.
",10.663999999999998,soln1,5.688091818181817,5.7838199999999995,5,0.23931064342059077,0.0012271661875199995
,,,,,,,,,,,,,50,1.1538212515382293,0.012271661875199997
,,,,,,,,,,,,,67,4.366836871146824,0.016444026912767997
,,,,,,,,,,,,,208,1.6897388229277488,0.05105011340083199
