Name,Number of Samples,Runtime [s],Time to Best Design [s],Die Area,Design Area,% Area Utilization,Total Wire Length,Max Wire Length,Max Wire Location,Mean Wire Length,Median Wire Length,Concentrations,Concentration Error [%]
six_samples,6,1813.7380578517914,1800.4246397018433," 0 0 2550 1590
",1086300,34%," 10914 um.
",14.507819999999999,connect0,6.35647705882353,5.499820000000003,5,17.64276215458465
,,,,,,,,,,,,48,11.216042771165116
,,,,,,,,,,,,67,3.895440707032078
,,,,,,,,,,,,92,2.4206997656674027
,,,,,,,,,,,,96,10.016971534417408
,,,,,,,,,,,,223,0.6666078677435718
six_samples,6,1813.1704413890839,1800.5995852947235," 0 0 2550 1590
",1287900,40%," 11394 um.
",16.33182,connect0,6.594471764705881,5.499820000000003,4,12.636731781581718
,,,,,,,,,,,,48,20.457198636486698
,,,,,,,,,,,,67,15.723153778556032
,,,,,,,,,,,,92,11.755671043064744
,,,,,,,,,,,,96,8.904179756562172
,,,,,,,,,,,,223,0.6709424436165452
six_samples,6,1838.7119145393372,1827.8787450790405," 0 0 2550 1590
",1413900,44%," 11903 um.
",18.15791,connect0,7.0024823529411755,6.185910000000002,3,0.23199443492244254
,,,,,,,,,,,,48,1.6604852649254012
,,,,,,,,,,,,67,2.6020666056816584
,,,,,,,,,,,,92,8.048832335976646
,,,,,,,,,,,,96,2.9083560399236243
,,,,,,,,,,,,223,1.6473124225878044
six_samples,6,1822.3499324321747,1811.238908290863," 0 0 2550 1590
",1413900,44%," 11903 um.
",18.15791,connect0,7.0024823529411755,6.185910000000002,2,0.20028327190935757
,,,,,,,,,,,,48,2.5290613952906034
,,,,,,,,,,,,67,2.4858767881271673
,,,,,,,,,,,,92,8.068298752967273
,,,,,,,,,,,,96,3.044237380442387
,,,,,,,,,,,,223,1.8137969858444964
six_samples,6,1815.4676094055176,1803.274288892746," 0 0 2550 1590
",1413900,44%," 11903 um.
",18.15791,connect0,7.0024823529411755,6.185910000000002,1,4.155387266604476
,,,,,,,,,,,,48,2.154311535404681
,,,,,,,,,,,,67,7.35658913631147
,,,,,,,,,,,,92,2.894071971929688
,,,,,,,,,,,,96,2.4462346097474454
,,,,,,,,,,,,223,0.48185310969343
