Name,Number of Samples,Runtime [s],Time to Best Design [s],Die Area,Design Area,% Area Utilization,Total Wire Length,Max Wire Length,Max Wire Location,Mean Wire Length,Median Wire Length,Concentrations,Concentration Error [%]
ten_samples,10,1814.38436460495,1800.9884638786316," 0 0 2550 1590
",1761300,55%," 18679 um.
",15.591819999999995,connect8,6.60368448275862,6.471820000000001,2,6.9416602133467675
,,,,,,,,,,,,49,47.12448579933991
,,,,,,,,,,,,76,64.74249618486992
,,,,,,,,,,,,100,59.57186678352322
,,,,,,,,,,,,63,53.04229379578496
,,,,,,,,,,,,73,43.51122296594682
,,,,,,,,,,,,60,14.27274175798982
,,,,,,,,,,,,67,30.376158974245275
,,,,,,,,,,,,232,28.72059856447268
,,,,,,,,,,,,246,78.17702225333638
ten_samples,10,1814.5312802791595,1800.0372996330261," 0 0 2550 1590
",1761300,55%," 18679 um.
",15.591819999999995,connect8,6.60368448275862,6.471820000000001,1,5.774307388819594
,,,,,,,,,,,,49,45.768634978799014
,,,,,,,,,,,,76,62.67828796518542
,,,,,,,,,,,,100,57.45539282839051
,,,,,,,,,,,,63,50.80178000171751
,,,,,,,,,,,,73,40.98409629412484
,,,,,,,,,,,,60,6.07860055762817
,,,,,,,,,,,,67,26.14686486040096
,,,,,,,,,,,,232,27.390697635063958
,,,,,,,,,,,,246,78.46489027459026
