Name,Number of Samples,Runtime [s],Die Area,Design Area,% Area Utilization,Total Wire Length,Concentrations,Concentration Error [%]
three_samples,3,358.55721735954285," 0 0 2550 1590
",72000,2%," 2757 um.
",100,1.5525414155254214
,,,,,,,100,2.4392991243929836
,,,,,,,100,0.8867607088676072
three_samples,3,395.17398142814636," 0 0 2550 1590
",72000,2%," 2757 um.
",99,2.2363955604480132
,,,,,,,100,2.764502277423199
,,,,,,,100,0.5504706618807498
three_samples,3,483.93657970428467," 0 0 2550 1590
",72000,2%," 2757 um.
",98,0.05727407966197769
,,,,,,,100,0.9657414134205523
,,,,,,,100,1.0218700113868844
three_samples,3,410.9419412612915," 0 0 2550 1590
",72000,2%," 2757 um.
",97,0.8017025019616594
,,,,,,,100,2.7913503146447787
,,,,,,,100,2.0137018572657106
three_samples,3,389.2628722190857," 0 0 2550 1590
",72000,2%," 2757 um.
",96,0.10586470974486123
,,,,,,,100,2.445251840350379
,,,,,,,100,2.34362172100083
three_samples,3,1811.88294839859," 0 0 2550 1590
",91800,3%," 2757 um.
",50,5.387375
,,,,,,,100,3.683486999999999
,,,,,,,100,0.9897994999999993
three_samples,3,1846.6774530410767," 0 0 2550 1590
",91800,3%," 2757 um.
",49,3.8426797684706457
,,,,,,,100,3.268751947024355
,,,,,,,100,1.3858413571714947
three_samples,3,197.81091213226318," 0 0 2550 1590
",91800,3%," 2757 um.
",48,2.2336222998290003
,,,,,,,100,2.85401819888464
,,,,,,,100,1.781881968319437
three_samples,3,108.31980228424072," 0 0 2550 1590
",91800,3%," 2757 um.
",47,2.8707123164711095
,,,,,,,100,0.05494514994505118
,,,,,,,100,1.294289631705704
three_samples,3,108.69992923736572," 0 0 2550 1590
",91800,3%," 2757 um.
",46,1.1609911168865255
,,,,,,,100,0.3501367157283335
,,,,,,,100,0.8841901632128758
three_samples,3,390.38449907302856," 0 0 2550 1590
",740700,23%," 3446 um.
",4,2.092050803995655
,,,,,,,95,1.2829417835944446
,,,,,,,144,0.7882725971987005
three_samples,3,407.16357374191284," 0 0 2550 1590
",967500,30%," 3986 um.
",3,2.9290012091937414
,,,,,,,95,1.1438894311670207
,,,,,,,144,0.8156683976165122
three_samples,3,138.88241505622864," 0 0 2550 1590
",1093500,34%," 5037 um.
",2,0.1473303240484222
,,,,,,,95,0.9687634317862437
,,,,,,,144,0.6411610898066968
three_samples,3,231.8669764995575," 0 0 2550 1590
",1093500,34%," 5037 um.
",1,0.6377949297640545
,,,,,,,95,0.6785899004512845
,,,,,,,144,0.4432516666666627
three_samples,3,249.3313171863556," 0 0 2550 1590
",864900,27%," 4467 um.
",5,2.5320901260537867
,,,,,,,31,1.493932552646022
,,,,,,,213,0.15798804446961928
three_samples,3,270.87204241752625," 0 0 2550 1590
",1091700,34%," 5007 um.
",4,1.5060707308498895
,,,,,,,31,1.7060840000000077
,,,,,,,213,0.22002024355301772
three_samples,3,322.96291065216064," 0 0 2550 1590
",1104300,34%," 4976 um.
",3,2.561277813226853
,,,,,,,31,2.9169609087432895
,,,,,,,213,0.46060849806629534
three_samples,3,319.07553911209106," 0 0 2550 1590
",1104300,34%," 4976 um.
",2,2.3805525898884143
,,,,,,,31,0.16515011634213567
,,,,,,,213,0.001683425349266108
