Name,Number of Samples,Runtime [s],Time to Best Design [s],Die Area,Design Area,% Area Utilization,Maximum X Coordinate,Total Wire Length,Max Wire Length,Max Wire Location,Mean Wire Length,Median Wire Length,Concentrations,Concentration Error [%],Required Volume [mL]
three_samples,3,1810.834615945816,1800.4492259025574," 0 0 2550 1590
",72000,2%,1140000," 2757 um.
",5.127819999999998,connect3,3.7693874999999997,4.188864999999999,100,11.000456810004557,3.31865856e-05
,,,,,,,,,,,,,100,2.728187127281884,0.0005973585408
,,,,,,,,,,,,,100,8.272272682722734,0.0005973585408
three_samples,3,1819.728518486023,1809.8864772319794," 0 0 2550 1590
",91800,3%,1830000," 2757 um.
",5.127819999999998,connect3,3.7693874999999997,4.188864999999999,50,5.387375,6.63731712e-05
,,,,,,,,,,,,,100,3.683486999999999,0.0023894341632
,,,,,,,,,,,,,100,0.9897994999999993,0.0023894341632
three_samples,3,268.95234203338623,268.9191310405731," 0 0 2550 1590
",397800,12%,1980000," 3326 um.
",7.753910000000001,soln1,4.409842499999999,4.602865,8,2.2598620492689627,0.0005683202784
,,,,,,,,,,,,,93,0.9865202429237864,0.11892101825520003
,,,,,,,,,,,,,137,0.8016444584001556,0.1751847258168
three_samples,3,1821.3112995624542,1810.3316068649292," 0 0 2550 1590
",975600,30%,3000000," 3986 um.
",12.453909999999997,connect0,4.994887499999999,3.5779100000000006,5,3.1817735156335165,0.0015664068403199996
,,,,,,,,,,,,,47,1.9507202573813147,0.2650360373821439
,,,,,,,,,,,,,236,0.32108156106349045,1.330819251535871
