Name,Number of Samples,Runtime [s],Time to Best Design [s],Die Area,Design Area,% Area Utilization,Maximum X Coordinate,Total Wire Length,Max Wire Length,Max Wire Location,Mean Wire Length,Median Wire Length,Concentrations,Concentration Error [%],Channel Volume [mL],Required Volume [mL]
three_samples,3,1773.4072740077972,1773.36509847641," 0 0 2550 1590
",72000,3%,1830000,40.301010000000005,9.375819999999997,connect0,5.037626250000001,4.388865000000001,100,0.7696944076969535,3.31865856e-05,3.31865856e-05
,,,,,,,,,,,,,100,2.8278282282782814,1.8436991999999999e-06,0.0005973585408
,,,,,,,,,,,,,100,2.058136820581373,1.8436991999999999e-06,0.0005973585408
three_samples,3,9.978848695755005,9.947380781173706," 0 0 2550 1590
",91800,3%,0,40.301010000000005,9.375819999999997,connect0,5.037626250000001,4.388865000000001,50,0.7696944076969535,6.63731712e-05,6.63731712e-05
,,,,,,,,,,,,,100,2.8278282282782814,1.8436991999999999e-06,0.0023894341632
,,,,,,,,,,,,,100,2.058136820581373,1.8436991999999999e-06,0.0023894341632
three_samples,3,10.881296634674072,10.843350648880005," 0 0 2550 1590
",397800,14%,0,43.037009999999995,8.691819999999998,connect0,5.379626249999999,4.616865000000001,8,0.7696944076969535,0.0005683202784,0.0005683202784
,,,,,,,,,,,,,93,2.8278282282782814,2.7159869935483866e-06,0.11892101825520003
,,,,,,,,,,,,,137,2.058136820581373,1.8436991999999999e-06,0.1751847258168
three_samples,3,1685.6318650245667,1685.5917999744415," 0 0 2550 1590
",91800,3%,1590000,40.301010000000005,9.375819999999997,connect0,5.037626250000001,4.388865000000001,50,2.090993499999999,6.63731712e-05,6.63731712e-05
,,,,,,,,,,,,,100,2.4443862499999995,1.8436991999999999e-06,0.0023894341632
,,,,,,,,,,,,,100,1.3988892499999932,1.8436991999999999e-06,0.0023894341632
three_samples,3,12.350568056106567,12.316951036453247," 0 0 2550 1590
",975600,34%,0,60.373189999999994,14.537909999999997,soln1,7.546648749999999,7.49591,5,2.090993499999999,0.0015664068403199996,0.0015664068403199996
,,,,,,,,,,,,,47,2.4443862499999995,9.257723642553189e-06,0.2650360373821439
,,,,,,,,,,,,,236,1.3988892499999932,1.8436991999999999e-06,1.330819251535871
three_samples,3,1103.1420352458954,1103.1072697639465," 0 0 2550 1590
",975600,34%,2430000,60.373189999999994,14.537909999999997,soln1,7.546648749999999,7.49591,5,0.19827418868954982,0.0015664068403199996,0.0015664068403199996
,,,,,,,,,,,,,47,0.22173733369837234,9.257723642553189e-06,0.2650360373821439
,,,,,,,,,,,,,236,0.0399600002167195,1.8436991999999999e-06,1.330819251535871
