Name,Number of Samples,Runtime [s],Die Area,Design Area,% Area Utilization,Total Wire Length,Concentrations,Error List
two_samples,2,51.31703519821167," 0 0 2550 1590
",55800,2%," 1348 um.
",100,2.019128400000003
,,,,,,,100,2.019128400000003
two_samples,2,60.201294898986816," 0 0 2550 1590
",55800,2%," 1348 um.
",99,1.5242760701657148
,,,,,,,100,1.5090333264505904
two_samples,2,58.48801398277283," 0 0 2550 1590
",55800,2%," 1348 um.
",97,0.5039609286856157
,,,,,,,100,0.4888421070796954
two_samples,2,60.86505675315857," 0 0 2550 1590
",55800,2%," 1348 um.
",94,1.1079212099127784
,,,,,,,100,1.041445927001071
two_samples,2,35.162736654281616," 0 0 2550 1590
",55800,2%," 1348 um.
",90,1.448630090498481
,,,,,,,100,1.3037670786962465
two_samples,2,53.659401655197144," 0 0 2550 1590
",75600,2%," 1348 um.
",50,2.3210292232102945
,,,,,,,100,1.160514594197428
two_samples,2,1831.9677317142487," 0 0 2550 1590
",75600,2%," 1348 um.
",49,3.7131511596487594
,,,,,,,100,1.819444064908335
two_samples,2,1816.3744943141937," 0 0 2550 1590
",75600,2%," 1348 um.
",47,6.675114892229131
,,,,,,,100,3.13730398266658
two_samples,2,45.20517635345459," 0 0 2550 1590
",75600,2%," 1348 um.
",44,1.3957667796979438
,,,,,,,100,0.6141373959304899
two_samples,2,43.56989312171936," 0 0 2550 1590
",85500,3%," 1348 um.
",40,1.4133860787992167
,,,,,,,100,0.5653544433921299
two_samples,2,139.86092138290405," 0 0 2550 1590
",381600,12%," 1408 um.
",5,2.892483995375799
,,,,,,,100,0.14462416536155617
two_samples,2,123.22759294509888," 0 0 2550 1590
",495000,15%," 2038 um.
",4,0.5834519366619368
,,,,,,,100,0.023338120037339233
two_samples,2,110.0524263381958," 0 0 2550 1590
",948600,30%," 3118 um.
",2,2.6364607218337004
,,,,,,,100,0.05272920583126518
two_samples,2,158.5988278388977," 0 0 2550 1590
",1074600,33%," 3508 um.
",1,0.1409270184092779
,,,,,,,100,0.0014092529998545775
