Index,TIME,C_sample(out),C_H2O(out),C_R2(out),C_R1(out)
0,0.0,0.0233054591,0.0397478088,0.0974802362,0.839466496
1,5e-07,0.0233054591,0.0397478088,0.0974802362,0.839466496
2,1.5e-06,0.0233054591,0.0397478088,0.0974802362,0.839466496
3,3.5e-06,0.0233054591,0.0397478088,0.0974802362,0.839466496
4,7.5e-06,0.0233054591,0.0397478088,0.0974802362,0.839466496
5,1.55e-05,0.0233054591,0.0397478088,0.0974802362,0.839466496
6,2.55e-05,0.0233054591,0.0397478088,0.0974802362,0.839466496
7,3.55e-05,0.0233054591,0.0397478088,0.0974802362,0.839466496
8,4.55e-05,0.0233054591,0.0397478088,0.0974802362,0.839466496
9,5.55e-05,0.0233054591,0.0397478088,0.0974802362,0.839466496
10,6.55e-05,0.0233054591,0.0397478088,0.0974802362,0.839466496
11,7.55e-05,0.0233054591,0.0397478088,0.0974802362,0.839466496
12,8.55e-05,0.0233054591,0.0397478088,0.0974802362,0.839466496
13,9.55e-05,0.0233054591,0.0397478088,0.0974802362,0.839466496
14,0.0001,0.0233054591,0.0397478088,0.0974802362,0.839466496
