Index,TIME,C_sample(out),C_H2O(out),C_R2(out),C_R1(out)
0,0.0,0.0410325433,0.0551696107,0.173164427,0.730633419
1,5e-07,0.0410325433,0.0551696107,0.173164427,0.730633419
2,1.5e-06,0.0410325433,0.0551696107,0.173164427,0.730633419
3,3.5e-06,0.0410325433,0.0551696107,0.173164427,0.730633419
4,7.5e-06,0.0410325433,0.0551696107,0.173164427,0.730633419
5,1.55e-05,0.0410325433,0.0551696107,0.173164427,0.730633419
6,2.55e-05,0.0410325433,0.0551696107,0.173164427,0.730633419
7,3.55e-05,0.0410325433,0.0551696107,0.173164427,0.730633419
8,4.55e-05,0.0410325433,0.0551696107,0.173164427,0.730633419
9,5.55e-05,0.0410325433,0.0551696107,0.173164427,0.730633419
10,6.55e-05,0.0410325433,0.0551696107,0.173164427,0.730633419
11,7.55e-05,0.0410325433,0.0551696107,0.173164427,0.730633419
12,8.55e-05,0.0410325433,0.0551696107,0.173164427,0.730633419
13,9.55e-05,0.0410325433,0.0551696107,0.173164427,0.730633419
14,0.0001,0.0410325433,0.0551696107,0.173164427,0.730633419
