Index,TIME,C_sample(out),C_R2(out),C_R1(out)
0,0.0,0.0454978591,0.290719589,0.663782552
1,5e-07,0.0454978591,0.290719589,0.663782552
2,1.5e-06,0.0454978591,0.290719589,0.663782552
3,3.5e-06,0.0454978591,0.290719589,0.663782552
4,7.5e-06,0.0454978591,0.290719589,0.663782552
5,1.55e-05,0.0454978591,0.290719589,0.663782552
6,2.55e-05,0.0454978591,0.290719589,0.663782552
7,3.55e-05,0.0454978591,0.290719589,0.663782552
8,4.55e-05,0.0454978591,0.290719589,0.663782552
9,5.55e-05,0.0454978591,0.290719589,0.663782552
10,6.55e-05,0.0454978591,0.290719589,0.663782552
11,7.55e-05,0.0454978591,0.290719589,0.663782552
12,8.55e-05,0.0454978591,0.290719589,0.663782552
13,9.55e-05,0.0454978591,0.290719589,0.663782552
14,0.0001,0.0454978591,0.290719589,0.663782552
