Index,TIME,C_sample(out),C_R1(out)
0,0.0,0.0256649601,0.97433504
1,5e-07,0.0256649601,0.97433504
2,1.5e-06,0.0256649601,0.97433504
3,3.5e-06,0.0256649601,0.97433504
4,7.5e-06,0.0256649601,0.97433504
5,1.55e-05,0.0256649601,0.97433504
6,2.55e-05,0.0256649601,0.97433504
7,3.55e-05,0.0256649601,0.97433504
8,4.55e-05,0.0256649601,0.97433504
9,5.55e-05,0.0256649601,0.97433504
10,6.55e-05,0.0256649601,0.97433504
11,7.55e-05,0.0256649601,0.97433504
12,8.55e-05,0.0256649601,0.97433504
13,9.55e-05,0.0256649601,0.97433504
14,0.0001,0.0256649601,0.97433504
