Index,TIME,C_sample(out),C_R1(out)
0,0.0,0.0586919773,0.941308023
1,5e-07,0.0586919773,0.941308023
2,1.5e-06,0.0586919773,0.941308023
3,3.5e-06,0.0586919773,0.941308023
4,7.5e-06,0.0586919773,0.941308023
5,1.55e-05,0.0586919773,0.941308023
6,2.55e-05,0.0586919773,0.941308023
7,3.55e-05,0.0586919773,0.941308023
8,4.55e-05,0.0586919773,0.941308023
9,5.55e-05,0.0586919773,0.941308023
10,6.55e-05,0.0586919773,0.941308023
11,7.55e-05,0.0586919773,0.941308023
12,8.55e-05,0.0586919773,0.941308023
13,9.55e-05,0.0586919773,0.941308023
14,0.0001,0.0586919773,0.941308023
