Index,TIME,C_R1(out),C_R2(out),C_sample(out)
0,0.0,0.139745341,0.330419628,0.529835031
1,5e-07,0.139745341,0.330419628,0.529835031
2,1.5e-06,0.139745341,0.330419628,0.529835031
3,3.5e-06,0.139745341,0.330419628,0.529835031
4,7.5e-06,0.139745341,0.330419628,0.529835031
5,1.55e-05,0.139745341,0.330419628,0.529835031
6,2.55e-05,0.139745341,0.330419628,0.529835031
7,3.55e-05,0.139745341,0.330419628,0.529835031
8,4.55e-05,0.139745341,0.330419628,0.529835031
9,5.55e-05,0.139745341,0.330419628,0.529835031
10,6.55e-05,0.139745341,0.330419628,0.529835031
11,7.55e-05,0.139745341,0.330419628,0.529835031
12,8.55e-05,0.139745341,0.330419628,0.529835031
13,9.55e-05,0.139745341,0.330419628,0.529835031
14,0.0001,0.139745341,0.330419628,0.529835031
