Index,TIME,P(connect2),P(connect6),H(out),H(out).1,H(out).2,H(connect2),H(connect2).1,H(connect6),H(connect6).1,H(connect5),P(connect2),P(connect6),S(out),S(out).1,S(out).2,S(connect2),S(connect2).1,S(connect6),S(connect6).1,S(connect5),P(connect2),P(connect6),T(out),T(out).1,T(out).2,T(connect2),T(connect2).1,T(connect6),T(connect6).1,T(connect5)
0,0.0,90431.7032,84826.2636,0.0616332379,0.0616332379,0.0616332379,0.0,0.0,0.0,0.0,0.0,90431.7032,84826.2636,0.00612859202,0.00612859202,0.00612859202,0.0,0.0,0.1,0.1,0.1,90431.7032,84826.2636,0.0322381701,0.0322381701,0.0322381701,0.1,0.1,0.0,0.0,0.0
1,5e-06,90431.7032,84826.2636,0.0616332379,0.0616332379,0.0616332379,0.0,0.0,0.0,0.0,0.0,90431.7032,84826.2636,0.00612859202,0.00612859202,0.00612859202,0.0,0.0,0.1,0.1,0.1,90431.7032,84826.2636,0.0322381701,0.0322381701,0.0322381701,0.1,0.1,0.0,0.0,0.0
2,1.5e-05,90431.7032,84826.2636,0.0616332379,0.0616332379,0.0616332379,0.0,0.0,0.0,0.0,0.0,90431.7032,84826.2636,0.00612859202,0.00612859202,0.00612859202,0.0,0.0,0.1,0.1,0.1,90431.7032,84826.2636,0.0322381701,0.0322381701,0.0322381701,0.1,0.1,0.0,0.0,0.0
3,3.5e-05,90431.7032,84826.2636,0.0616332379,0.0616332379,0.0616332379,0.0,0.0,0.0,0.0,0.0,90431.7032,84826.2636,0.00612859202,0.00612859202,0.00612859202,0.0,0.0,0.1,0.1,0.1,90431.7032,84826.2636,0.0322381701,0.0322381701,0.0322381701,0.1,0.1,0.0,0.0,0.0
4,7.5e-05,90431.7032,84826.2636,0.0616332379,0.0616332379,0.0616332379,0.0,0.0,0.0,0.0,0.0,90431.7032,84826.2636,0.00612859202,0.00612859202,0.00612859202,0.0,0.0,0.1,0.1,0.1,90431.7032,84826.2636,0.0322381701,0.0322381701,0.0322381701,0.1,0.1,0.0,0.0,0.0
5,0.000155,90431.7032,84826.2636,0.0616332379,0.0616332379,0.0616332379,0.0,0.0,0.0,0.0,0.0,90431.7032,84826.2636,0.00612859202,0.00612859202,0.00612859202,0.0,0.0,0.1,0.1,0.1,90431.7032,84826.2636,0.0322381701,0.0322381701,0.0322381701,0.1,0.1,0.0,0.0,0.0
6,0.000255,90431.7032,84826.2636,0.0616332379,0.0616332379,0.0616332379,0.0,0.0,0.0,0.0,0.0,90431.7032,84826.2636,0.00612859202,0.00612859202,0.00612859202,0.0,0.0,0.1,0.1,0.1,90431.7032,84826.2636,0.0322381701,0.0322381701,0.0322381701,0.1,0.1,0.0,0.0,0.0
7,0.000355,90431.7032,84826.2636,0.0616332379,0.0616332379,0.0616332379,0.0,0.0,0.0,0.0,0.0,90431.7032,84826.2636,0.00612859202,0.00612859202,0.00612859202,0.0,0.0,0.1,0.1,0.1,90431.7032,84826.2636,0.0322381701,0.0322381701,0.0322381701,0.1,0.1,0.0,0.0,0.0
8,0.000455,90431.7032,84826.2636,0.0616332379,0.0616332379,0.0616332379,0.0,0.0,0.0,0.0,0.0,90431.7032,84826.2636,0.00612859202,0.00612859202,0.00612859202,0.0,0.0,0.1,0.1,0.1,90431.7032,84826.2636,0.0322381701,0.0322381701,0.0322381701,0.1,0.1,0.0,0.0,0.0
9,0.000555,90431.7032,84826.2636,0.0616332379,0.0616332379,0.0616332379,0.0,0.0,0.0,0.0,0.0,90431.7032,84826.2636,0.00612859202,0.00612859202,0.00612859202,0.0,0.0,0.1,0.1,0.1,90431.7032,84826.2636,0.0322381701,0.0322381701,0.0322381701,0.1,0.1,0.0,0.0,0.0
10,0.000655,90431.7032,84826.2636,0.0616332379,0.0616332379,0.0616332379,0.0,0.0,0.0,0.0,0.0,90431.7032,84826.2636,0.00612859202,0.00612859202,0.00612859202,0.0,0.0,0.1,0.1,0.1,90431.7032,84826.2636,0.0322381701,0.0322381701,0.0322381701,0.1,0.1,0.0,0.0,0.0
11,0.000755,90431.7032,84826.2636,0.0616332379,0.0616332379,0.0616332379,0.0,0.0,0.0,0.0,0.0,90431.7032,84826.2636,0.00612859202,0.00612859202,0.00612859202,0.0,0.0,0.1,0.1,0.1,90431.7032,84826.2636,0.0322381701,0.0322381701,0.0322381701,0.1,0.1,0.0,0.0,0.0
12,0.000855,90431.7032,84826.2636,0.0616332379,0.0616332379,0.0616332379,0.0,0.0,0.0,0.0,0.0,90431.7032,84826.2636,0.00612859202,0.00612859202,0.00612859202,0.0,0.0,0.1,0.1,0.1,90431.7032,84826.2636,0.0322381701,0.0322381701,0.0322381701,0.1,0.1,0.0,0.0,0.0
13,0.000955,90431.7032,84826.2636,0.0616332379,0.0616332379,0.0616332379,0.0,0.0,0.0,0.0,0.0,90431.7032,84826.2636,0.00612859202,0.00612859202,0.00612859202,0.0,0.0,0.1,0.1,0.1,90431.7032,84826.2636,0.0322381701,0.0322381701,0.0322381701,0.1,0.1,0.0,0.0,0.0
14,0.001,90431.7032,84826.2636,0.0616332379,0.0616332379,0.0616332379,0.0,0.0,0.0,0.0,0.0,90431.7032,84826.2636,0.00612859202,0.00612859202,0.00612859202,0.0,0.0,0.1,0.1,0.1,90431.7032,84826.2636,0.0322381701,0.0322381701,0.0322381701,0.1,0.1,0.0,0.0,0.0
