Index,TIME,P(connect1),P(connect5),C_H2O(out),C_H2O(connect1),C_H2O(connect5),C_H2O(connect4),C_Tag(out),C_Tag(connect1),C_Tag(connect5),C_Tag(connect4),C_Sample(out),C_Sample(connect1),C_Sample(connect5),C_Sample(connect4)
0,0.0,90431.7032,84826.2636,0.0616332379,0.0,0.0,0.0,0.0322381701,0.1,0.0,0.0,0.00612859202,0.0,0.1,0.1
1,5e-07,90431.7032,84826.2636,0.0616332379,0.0,0.0,0.0,0.0322381701,0.1,0.0,0.0,0.00612859202,0.0,0.1,0.1
2,1.5e-06,90431.7032,84826.2636,0.0616332379,0.0,0.0,0.0,0.0322381701,0.1,0.0,0.0,0.00612859202,0.0,0.1,0.1
3,3.5e-06,90431.7032,84826.2636,0.0616332379,0.0,0.0,0.0,0.0322381701,0.1,0.0,0.0,0.00612859202,0.0,0.1,0.1
4,7.5e-06,90431.7032,84826.2636,0.0616332379,0.0,0.0,0.0,0.0322381701,0.1,0.0,0.0,0.00612859202,0.0,0.1,0.1
5,1.55e-05,90431.7032,84826.2636,0.0616332379,0.0,0.0,0.0,0.0322381701,0.1,0.0,0.0,0.00612859202,0.0,0.1,0.1
6,2.55e-05,90431.7032,84826.2636,0.0616332379,0.0,0.0,0.0,0.0322381701,0.1,0.0,0.0,0.00612859202,0.0,0.1,0.1
7,3.55e-05,90431.7032,84826.2636,0.0616332379,0.0,0.0,0.0,0.0322381701,0.1,0.0,0.0,0.00612859202,0.0,0.1,0.1
8,4.55e-05,90431.7032,84826.2636,0.0616332379,0.0,0.0,0.0,0.0322381701,0.1,0.0,0.0,0.00612859202,0.0,0.1,0.1
9,5.55e-05,90431.7032,84826.2636,0.0616332379,0.0,0.0,0.0,0.0322381701,0.1,0.0,0.0,0.00612859202,0.0,0.1,0.1
10,6.55e-05,90431.7032,84826.2636,0.0616332379,0.0,0.0,0.0,0.0322381701,0.1,0.0,0.0,0.00612859202,0.0,0.1,0.1
11,7.55e-05,90431.7032,84826.2636,0.0616332379,0.0,0.0,0.0,0.0322381701,0.1,0.0,0.0,0.00612859202,0.0,0.1,0.1
12,8.55e-05,90431.7032,84826.2636,0.0616332379,0.0,0.0,0.0,0.0322381701,0.1,0.0,0.0,0.00612859202,0.0,0.1,0.1
13,9.55e-05,90431.7032,84826.2636,0.0616332379,0.0,0.0,0.0,0.0322381701,0.1,0.0,0.0,0.00612859202,0.0,0.1,0.1
14,0.0001,90431.7032,84826.2636,0.0616332379,0.0,0.0,0.0,0.0322381701,0.1,0.0,0.0,0.00612859202,0.0,0.1,0.1
